INSERT INTO fatSales VALUES('FDA15', 'OUT049', 'Low Fat', 3735.138);
INSERT INTO fatSales VALUES('DRC01', 'OUT018', 'Regular', 443.4228);
INSERT INTO fatSales VALUES('FDN15', 'OUT049', 'Low Fat', 2097.27);
INSERT INTO fatSales VALUES('FDX07', 'OUT010', 'Regular', 732.38);
INSERT INTO fatSales VALUES('NCD19', 'OUT013', 'Low Fat', 994.7052);
INSERT INTO fatSales VALUES('FDP36', 'OUT018', 'Regular', 556.6088);
INSERT INTO fatSales VALUES('FDO10', 'OUT013', 'Regular', 343.5528);
INSERT INTO fatSales VALUES('FDP10', 'OUT027', 'Low Fat', 4022.7636);
INSERT INTO fatSales VALUES('FDH17', 'OUT045', 'Regular', 1076.5986);
INSERT INTO fatSales VALUES('FDU28', 'OUT017', 'Regular', 4710.535);
INSERT INTO fatSales VALUES('FDY07', 'OUT049', 'Low Fat', 1516.0266);
INSERT INTO fatSales VALUES('FDA03', 'OUT046', 'Regular', 2187.153);
INSERT INTO fatSales VALUES('FDX32', 'OUT049', 'Regular', 1589.2646);
INSERT INTO fatSales VALUES('FDS46', 'OUT046', 'Regular', 2145.2076);
INSERT INTO fatSales VALUES('FDF32', 'OUT013', 'Low Fat', 1977.426);
INSERT INTO fatSales VALUES('FDP49', 'OUT046', 'Regular', 1547.3192);
INSERT INTO fatSales VALUES('NCB42', 'OUT018', 'Low Fat', 1621.8888);
INSERT INTO fatSales VALUES('FDP49', 'OUT049', 'Regular', 718.3982);
INSERT INTO fatSales VALUES('DRI11', 'OUT027', 'Low Fat', 2303.668);
INSERT INTO fatSales VALUES('FDU02', 'OUT035', 'Low Fat', 2748.4224);
INSERT INTO fatSales VALUES('FDN22', 'OUT013', 'Regular', 3775.086);
INSERT INTO fatSales VALUES('FDW12', 'OUT027', 'Regular', 4064.0432);
INSERT INTO fatSales VALUES('NCB30', 'OUT035', 'Low Fat', 1587.2672);
INSERT INTO fatSales VALUES('FDC37', 'OUT019', 'Low Fat', 214.3876);
INSERT INTO fatSales VALUES('FDR28', 'OUT046', 'Regular', 4078.025);
INSERT INTO fatSales VALUES('NCD06', 'OUT017', 'Low Fat', 838.908);
INSERT INTO fatSales VALUES('FDV10', 'OUT035', 'Regular', 1065.28);
INSERT INTO fatSales VALUES('DRJ59', 'OUT013', 'Low Fat', 308.9312);
INSERT INTO fatSales VALUES('FDE51', 'OUT010', 'Regular', 178.4344);
INSERT INTO fatSales VALUES('FDC14', 'OUT019', 'Regular', 125.8362);
INSERT INTO fatSales VALUES('FDV38', 'OUT010', 'Low Fat', 163.7868);
INSERT INTO fatSales VALUES('NCS17', 'OUT018', 'Low Fat', 2741.7644);
INSERT INTO fatSales VALUES('FDP33', 'OUT018', 'Low Fat', 3068.0064);
INSERT INTO fatSales VALUES('FDO23', 'OUT045', 'Low Fat', 2174.5028);
INSERT INTO fatSales VALUES('DRH01', 'OUT046', 'Low Fat', 2085.2856);
INSERT INTO fatSales VALUES('NCX29', 'OUT049', 'Low Fat', 3791.0652);
INSERT INTO fatSales VALUES('FDV20', 'OUT027', 'Regular', 2797.6916);
INSERT INTO fatSales VALUES('DRZ11', 'OUT018', 'Regular', 1609.9044);
INSERT INTO fatSales VALUES('FDX10', 'OUT027', 'Regular', 388.1614);
INSERT INTO fatSales VALUES('FDB34', 'OUT027', 'Low Fat', 2180.495);
INSERT INTO fatSales VALUES('FDU02', 'OUT046', 'Low Fat', 3435.528);
INSERT INTO fatSales VALUES('FDK43', 'OUT013', 'Low Fat', 2150.534);
INSERT INTO fatSales VALUES('FDA46', 'OUT049', 'Low Fat', 2527.3768);
INSERT INTO fatSales VALUES('FDC02', 'OUT018', 'Low Fat', 6768.5228);
INSERT INTO fatSales VALUES('FDL50', 'OUT013', 'Regular', 373.5138);
INSERT INTO fatSales VALUES('FDM39', 'OUT010', 'Low Fat', 358.2004);
INSERT INTO fatSales VALUES('NCP05', 'OUT045', 'Low Fat', 2428.8384);
INSERT INTO fatSales VALUES('FDV49', 'OUT045', 'Low Fat', 5815.0972);
INSERT INTO fatSales VALUES('FDL12', 'OUT046', 'Regular', 2576.646);
INSERT INTO fatSales VALUES('FDS02', 'OUT019', 'Regular', 780.3176);
INSERT INTO fatSales VALUES('NCL17', 'OUT046', 'Low Fat', 3134.5864);
INSERT INTO fatSales VALUES('FDM40', 'OUT013', 'Low Fat', 850.8924);
INSERT INTO fatSales VALUES('FDR13', 'OUT013', 'Regular', 810.9444);
INSERT INTO fatSales VALUES('FDA43', 'OUT017', 'Low Fat', 3121.2704);
INSERT INTO fatSales VALUES('NCP18', 'OUT017', 'Low Fat', 4815.0656);
INSERT INTO fatSales VALUES('FDK21', 'OUT018', 'Low Fat', 6258.52);
INSERT INTO fatSales VALUES('NCX54', 'OUT045', 'Low Fat', 2117.244);
INSERT INTO fatSales VALUES('DRK35', 'OUT049', 'Low Fat', 796.9626);
INSERT INTO fatSales VALUES('FDY21', 'OUT046', 'Low Fat', 4910.275);
INSERT INTO fatSales VALUES('FDI26', 'OUT019', 'Low Fat', 892.172);
INSERT INTO fatSales VALUES('FDM20', 'OUT018', 'Low Fat', 3185.1872);
