INSERT INTO locationTypeSales VALUES('FDA15', 'OUT049', 'Tier 1', 3735.138);
INSERT INTO locationTypeSales VALUES('DRC01', 'OUT018', 'Tier 3', 443.4228);
INSERT INTO locationTypeSales VALUES('FDN15', 'OUT049', 'Tier 1', 2097.27);
INSERT INTO locationTypeSales VALUES('FDX07', 'OUT010', 'Tier 3', 732.38);
INSERT INTO locationTypeSales VALUES('NCD19', 'OUT013', 'Tier 3', 994.7052);
INSERT INTO locationTypeSales VALUES('FDP36', 'OUT018', 'Tier 3', 556.6088);
INSERT INTO locationTypeSales VALUES('FDO10', 'OUT013', 'Tier 3', 343.5528);
INSERT INTO locationTypeSales VALUES('FDP10', 'OUT027', 'Tier 3', 4022.7636);
INSERT INTO locationTypeSales VALUES('FDH17', 'OUT045', 'Tier 2', 1076.5986);
INSERT INTO locationTypeSales VALUES('FDU28', 'OUT017', 'Tier 2', 4710.535);
INSERT INTO locationTypeSales VALUES('FDY07', 'OUT049', 'Tier 1', 1516.0266);
INSERT INTO locationTypeSales VALUES('FDA03', 'OUT046', 'Tier 1', 2187.153);
INSERT INTO locationTypeSales VALUES('FDX32', 'OUT049', 'Tier 1', 1589.2646);
INSERT INTO locationTypeSales VALUES('FDS46', 'OUT046', 'Tier 1', 2145.2076);
INSERT INTO locationTypeSales VALUES('FDF32', 'OUT013', 'Tier 3', 1977.426);
INSERT INTO locationTypeSales VALUES('FDP49', 'OUT046', 'Tier 1', 1547.3192);
INSERT INTO locationTypeSales VALUES('NCB42', 'OUT018', 'Tier 3', 1621.8888);
INSERT INTO locationTypeSales VALUES('FDP49', 'OUT049', 'Tier 1', 718.3982);
INSERT INTO locationTypeSales VALUES('DRI11', 'OUT027', 'Tier 3', 2303.668);
INSERT INTO locationTypeSales VALUES('FDU02', 'OUT035', 'Tier 2', 2748.4224);
INSERT INTO locationTypeSales VALUES('FDN22', 'OUT013', 'Tier 3', 3775.086);
INSERT INTO locationTypeSales VALUES('FDW12', 'OUT027', 'Tier 3', 4064.0432);
INSERT INTO locationTypeSales VALUES('NCB30', 'OUT035', 'Tier 2', 1587.2672);
INSERT INTO locationTypeSales VALUES('FDC37', 'OUT019', 'Tier 1', 214.3876);
INSERT INTO locationTypeSales VALUES('FDR28', 'OUT046', 'Tier 1', 4078.025);
INSERT INTO locationTypeSales VALUES('NCD06', 'OUT017', 'Tier 2', 838.908);
INSERT INTO locationTypeSales VALUES('FDV10', 'OUT035', 'Tier 2', 1065.28);
INSERT INTO locationTypeSales VALUES('DRJ59', 'OUT013', 'Tier 3', 308.9312);
INSERT INTO locationTypeSales VALUES('FDE51', 'OUT010', 'Tier 3', 178.4344);
INSERT INTO locationTypeSales VALUES('FDC14', 'OUT019', 'Tier 1', 125.8362);
INSERT INTO locationTypeSales VALUES('FDV38', 'OUT010', 'Tier 3', 163.7868);
INSERT INTO locationTypeSales VALUES('NCS17', 'OUT018', 'Tier 3', 2741.7644);
INSERT INTO locationTypeSales VALUES('FDP33', 'OUT018', 'Tier 3', 3068.0064);
INSERT INTO locationTypeSales VALUES('FDO23', 'OUT045', 'Tier 2', 2174.5028);
INSERT INTO locationTypeSales VALUES('DRH01', 'OUT046', 'Tier 1', 2085.2856);
INSERT INTO locationTypeSales VALUES('NCX29', 'OUT049', 'Tier 1', 3791.0652);
INSERT INTO locationTypeSales VALUES('FDV20', 'OUT027', 'Tier 3', 2797.6916);
INSERT INTO locationTypeSales VALUES('DRZ11', 'OUT018', 'Tier 3', 1609.9044);
INSERT INTO locationTypeSales VALUES('FDX10', 'OUT027', 'Tier 3', 388.1614);
