INSERT INTO outletSizeSales VALUES('FDA15', 'OUT049', 'Medium', 3735.138);
INSERT INTO outletSizeSales VALUES('DRC01', 'OUT018', 'Medium', 443.4228);
INSERT INTO outletSizeSales VALUES('FDN15', 'OUT049', 'Medium', 2097.27);
INSERT INTO outletSizeSales VALUES('FDX07', 'OUT010', 'Medium', 732.38);
INSERT INTO outletSizeSales VALUES('NCD19', 'OUT013', 'High', 994.7052);
INSERT INTO outletSizeSales VALUES('FDP36', 'OUT018', 'Medium', 556.6088);
INSERT INTO outletSizeSales VALUES('FDO10', 'OUT013', 'High', 343.5528);
INSERT INTO outletSizeSales VALUES('FDP10', 'OUT027', 'Medium', 4022.7636);
INSERT INTO outletSizeSales VALUES('FDH17', 'OUT045', 'Medium', 1076.5986);
INSERT INTO outletSizeSales VALUES('FDU28', 'OUT017', 'Medium', 4710.535);
INSERT INTO outletSizeSales VALUES('FDY07', 'OUT049', 'Medium', 1516.0266);
INSERT INTO outletSizeSales VALUES('FDA03', 'OUT046', 'Small', 2187.153);
INSERT INTO outletSizeSales VALUES('FDX32', 'OUT049', 'Medium', 1589.2646);
INSERT INTO outletSizeSales VALUES('FDS46', 'OUT046', 'Small', 2145.2076);
INSERT INTO outletSizeSales VALUES('FDF32', 'OUT013', 'High', 1977.426);
INSERT INTO outletSizeSales VALUES('FDP49', 'OUT046', 'Small', 1547.3192);
INSERT INTO outletSizeSales VALUES('NCB42', 'OUT018', 'Medium', 1621.8888);
INSERT INTO outletSizeSales VALUES('FDP49', 'OUT049', 'Medium', 718.3982);
INSERT INTO outletSizeSales VALUES('DRI11', 'OUT027', 'Medium', 2303.668);
INSERT INTO outletSizeSales VALUES('FDU02', 'OUT035', 'Small', 2748.4224);
INSERT INTO outletSizeSales VALUES('FDN22', 'OUT013', 'High', 3775.086);
INSERT INTO outletSizeSales VALUES('FDW12', 'OUT027', 'Medium', 4064.0432);
INSERT INTO outletSizeSales VALUES('NCB30', 'OUT035', 'Small', 1587.2672);
INSERT INTO outletSizeSales VALUES('FDC37', 'OUT019', 'Small', 214.3876);
INSERT INTO outletSizeSales VALUES('FDR28', 'OUT046', 'Small', 4078.025);
INSERT INTO outletSizeSales VALUES('NCD06', 'OUT017', 'Medium', 838.908);
INSERT INTO outletSizeSales VALUES('FDV10', 'OUT035', 'Small', 1065.28);
INSERT INTO outletSizeSales VALUES('DRJ59', 'OUT013', 'High', 308.9312);
INSERT INTO outletSizeSales VALUES('FDE51', 'OUT010', 'Medium', 178.4344);
INSERT INTO outletSizeSales VALUES('FDC14', 'OUT019', 'Small', 125.8362);
INSERT INTO outletSizeSales VALUES('FDV38', 'OUT010', 'Medium', 163.7868);
INSERT INTO outletSizeSales VALUES('NCS17', 'OUT018', 'Medium', 2741.7644);
INSERT INTO outletSizeSales VALUES('FDP33', 'OUT018', 'Medium', 3068.0064);
INSERT INTO outletSizeSales VALUES('FDO23', 'OUT045', 'Medium', 2174.5028);
INSERT INTO outletSizeSales VALUES('DRH01', 'OUT046', 'Small', 2085.2856);
INSERT INTO outletSizeSales VALUES('NCX29', 'OUT049', 'Medium', 3791.0652);
INSERT INTO outletSizeSales VALUES('FDV20', 'OUT027', 'Medium', 2797.6916);
INSERT INTO outletSizeSales VALUES('DRZ11', 'OUT018', 'Medium', 1609.9044);
INSERT INTO outletSizeSales VALUES('FDX10', 'OUT027', 'Medium', 388.1614);
INSERT INTO outletSizeSales VALUES('FDB34', 'OUT027', 'Medium', 2180.495);
INSERT INTO outletSizeSales VALUES('FDU02', 'OUT046', 'Small', 3435.528);
INSERT INTO outletSizeSales VALUES('FDK43', 'OUT013', 'High', 2150.534);
INSERT INTO outletSizeSales VALUES('FDA46', 'OUT049', 'Medium', 2527.3768);
INSERT INTO outletSizeSales VALUES('FDC02', 'OUT018', 'Medium', 6768.5228);
INSERT INTO outletSizeSales VALUES('FDL50', 'OUT013', 'High', 373.5138);
INSERT INTO outletSizeSales VALUES('FDM39', 'OUT010', 'Medium', 358.2004);
INSERT INTO outletSizeSales VALUES('NCP05', 'OUT045', 'Medium', 2428.8384);
INSERT INTO outletSizeSales VALUES('FDV49', 'OUT045', 'Medium', 5815.0972);
INSERT INTO outletSizeSales VALUES('FDL12', 'OUT046', 'Small', 2576.646);
INSERT INTO outletSizeSales VALUES('FDS02', 'OUT019', 'Small', 780.3176);
INSERT INTO outletSizeSales VALUES('NCL17', 'OUT046', 'Small', 3134.5864);
INSERT INTO outletSizeSales VALUES('FDM40', 'OUT013', 'High', 850.8924);
INSERT INTO outletSizeSales VALUES('FDR13', 'OUT013', 'High', 810.9444);
INSERT INTO outletSizeSales VALUES('FDA43', 'OUT017', 'Medium', 3121.2704);
INSERT INTO outletSizeSales VALUES('NCP18', 'OUT017', 'Medium', 4815.0656);
INSERT INTO outletSizeSales VALUES('FDK21', 'OUT018', 'Medium', 6258.52);
