INSERT INTO typeMrpSales VALUES('FDA15', 'OUT049', 'Dairy', 249.8092);
INSERT INTO typeMrpSales VALUES('DRC01', 'OUT018', 'Soft Drinks', 48.2692);
INSERT INTO typeMrpSales VALUES('FDN15', 'OUT049', 'Meat', 141.618);
INSERT INTO typeMrpSales VALUES('FDX07', 'OUT010', 'Fruits and Vegetables', 182.095);
INSERT INTO typeMrpSales VALUES('NCD19', 'OUT013', 'Household', 53.8614);
INSERT INTO typeMrpSales VALUES('FDP36', 'OUT018', 'Baking Goods', 51.4008);
INSERT INTO typeMrpSales VALUES('FDO10', 'OUT013', 'Snack Foods', 57.6588);
INSERT INTO typeMrpSales VALUES('FDP10', 'OUT027', 'Snack Foods', 107.7622);
INSERT INTO typeMrpSales VALUES('FDH17', 'OUT045', 'Frozen Foods', 96.9726);
INSERT INTO typeMrpSales VALUES('FDU28', 'OUT017', 'Frozen Foods', 187.8214);
INSERT INTO typeMrpSales VALUES('FDY07', 'OUT049', 'Fruits and Vegetables', 45.5402);
INSERT INTO typeMrpSales VALUES('FDA03', 'OUT046', 'Dairy', 144.1102);
INSERT INTO typeMrpSales VALUES('FDX32', 'OUT049', 'Fruits and Vegetables', 145.4786);
INSERT INTO typeMrpSales VALUES('FDS46', 'OUT046', 'Snack Foods', 119.6782);
INSERT INTO typeMrpSales VALUES('FDF32', 'OUT013', 'Fruits and Vegetables', 196.4426);
INSERT INTO typeMrpSales VALUES('FDP49', 'OUT046', 'Breakfast', 56.3614);
INSERT INTO typeMrpSales VALUES('NCB42', 'OUT018', 'Health and Hygiene', 115.3492);
INSERT INTO typeMrpSales VALUES('FDP49', 'OUT049', 'Breakfast', 54.3614);
INSERT INTO typeMrpSales VALUES('DRI11', 'OUT027', 'Hard Drinks', 113.2834);
INSERT INTO typeMrpSales VALUES('FDU02', 'OUT035', 'Dairy', 230.5352);
INSERT INTO typeMrpSales VALUES('FDN22', 'OUT013', 'Snack Foods', 250.8724);
INSERT INTO typeMrpSales VALUES('FDW12', 'OUT027', 'Baking Goods', 144.5444);
INSERT INTO typeMrpSales VALUES('NCB30', 'OUT035', 'Household', 196.5084);
INSERT INTO typeMrpSales VALUES('FDC37', 'OUT019', 'Baking Goods', 107.6938);
INSERT INTO typeMrpSales VALUES('FDR28', 'OUT046', 'Frozen Foods', 165.021);
INSERT INTO typeMrpSales VALUES('NCD06', 'OUT017', 'Household', 45.906);
INSERT INTO typeMrpSales VALUES('FDV10', 'OUT035', 'Snack Foods', 42.3112);
INSERT INTO typeMrpSales VALUES('DRJ59', 'OUT013', 'Hard Drinks', 39.1164);
INSERT INTO typeMrpSales VALUES('FDE51', 'OUT010', 'Dairy', 45.5086);
INSERT INTO typeMrpSales VALUES('FDC14', 'OUT019', 'Canned', 43.6454);
INSERT INTO typeMrpSales VALUES('FDV38', 'OUT010', 'Dairy', 55.7956);
INSERT INTO typeMrpSales VALUES('NCS17', 'OUT018', 'Health and Hygiene', 96.4436);
INSERT INTO typeMrpSales VALUES('FDP33', 'OUT018', 'Snack Foods', 256.6672);
INSERT INTO typeMrpSales VALUES('FDO23', 'OUT045', 'Breads', 93.1436);
INSERT INTO typeMrpSales VALUES('DRH01', 'OUT046', 'Soft Drinks', 174.8738);
INSERT INTO typeMrpSales VALUES('NCX29', 'OUT049', 'Health and Hygiene', 146.7102);
INSERT INTO typeMrpSales VALUES('FDV20', 'OUT027', 'Fruits and Vegetables', 128.0678);
INSERT INTO typeMrpSales VALUES('DRZ11', 'OUT018', 'Soft Drinks', 122.5388);
INSERT INTO typeMrpSales VALUES('FDX10', 'OUT027', 'Snack Foods', 36.9874);
INSERT INTO typeMrpSales VALUES('FDB34', 'OUT027', 'Snack Foods', 87.6198);
INSERT INTO typeMrpSales VALUES('FDU02', 'OUT046', 'Dairy', 230.6352);
INSERT INTO typeMrpSales VALUES('FDK43', 'OUT013', 'Meat', 126.002);
INSERT INTO typeMrpSales VALUES('FDA46', 'OUT049', 'Snack Foods', 192.9136);
INSERT INTO typeMrpSales VALUES('FDC02', 'OUT018', 'Canned', 259.9278);
INSERT INTO typeMrpSales VALUES('FDL50', 'OUT013', 'Canned', 126.5046);
INSERT INTO typeMrpSales VALUES('FDM39', 'OUT010', 'Dairy', 178.1002);
INSERT INTO typeMrpSales VALUES('NCP05', 'OUT045', 'Health and Hygiene', 153.3024);
INSERT INTO typeMrpSales VALUES('FDV49', 'OUT045', 'Canned', 265.2226);
INSERT INTO typeMrpSales VALUES('FDL12', 'OUT046', 'Baking Goods', 60.622);
INSERT INTO typeMrpSales VALUES('FDS02', 'OUT019', 'Dairy', 196.8794);
INSERT INTO typeMrpSales VALUES('NCL17', 'OUT046', 'Health and Hygiene', 143.8812);
INSERT INTO typeMrpSales VALUES('FDM40', 'OUT013', 'Frozen Foods', 141.5154);
INSERT INTO typeMrpSales VALUES('FDR13', 'OUT013', 'Canned', 117.0492);
INSERT INTO typeMrpSales VALUES('FDA43', 'OUT017', 'Fruits and Vegetables', 196.3794);
INSERT INTO typeMrpSales VALUES('NCP18', 'OUT017', 'Household', 151.4708);
INSERT INTO typeMrpSales VALUES('FDK21', 'OUT018', 'Snack Foods', 249.0408);
INSERT INTO typeMrpSales VALUES('NCX54', 'OUT045', 'Household', 106.1622);
INSERT INTO typeMrpSales VALUES('DRK35', 'OUT049', 'Hard Drinks', 38.0506);
INSERT INTO typeMrpSales VALUES('FDY21', 'OUT046', 'Snack Foods', 194.511);
INSERT INTO typeMrpSales VALUES('FDI26', 'OUT019', 'Canned', 180.0344);
INSERT INTO typeMrpSales VALUES('FDM20', 'OUT018', 'Fruits and Vegetables', 246.9144);
INSERT INTO typeMrpSales VALUES('FDV27', 'OUT045', 'Meat', 87.3514);
INSERT INTO typeMrpSales VALUES('FDF09', 'OUT027', 'Fruits and Vegetables', 38.2848);
INSERT INTO typeMrpSales VALUES('FDY40', 'OUT019', 'Frozen Foods', 51.0692);
INSERT INTO typeMrpSales VALUES('FDY45', 'OUT027', 'Snack Foods', 255.8356);
INSERT INTO typeMrpSales VALUES('FDC46', 'OUT010', 'Snack Foods', 185.4266);
INSERT INTO typeMrpSales VALUES('FDH19', 'OUT035', 'Meat', 172.5738);
